nom_rue,longueur_km,segments
Hohleichweg,1.811513528805978,6
Petergraben,2.987451617796537,12
Großschneidersweg,0.2963689665522731,2
Grabener Straße,11.07916368742513,12
Fabrikstraße,0.1054233922800576,1
Pfortzer Straße,1.8829028318427876,1
Ostring,145.96120496426158,89
Lorenzstraße,100.43790149614345,17
Delawarestraße,0.28667046222456577,2
Schlehenweg,0.2899025489592023,1
Im kleinen Bruch,0.5393260910189914,2
Kronenstraße,58.548672803612334,18
Adlerstraße,64.25663919393841,24
Karl-Wilhelm-Straße,5.694390747606042,26
Hofäckerstraße,1.7202140178214818,9
Schwetzinger Straße,4.075410656748385,22
Parzivalstraße,0.09755002218542096,1
Reitschulschlag,0.5749093836427295,2
An der Feldshütte,0.8016367684562672,4
Jenaer Straße,0.3447200047065959,2
Hallesche Allee,1.0508729367405332,4
Magdeburger Straße,2.3428128381779643,10
Geroldsäckerweg,0.4192527820623723,2
Gothaer Straße,0.5904000247352573,4
Erfurter Straße,0.13659471320263192,1
Eisenacher Straße,0.13588028396911248,1
Dresdener Straße,7.94554152050602,2
Zikadenweg,0.18620849489592842,1
Im Jagdgrund,5.667326903258534,4
Großklamm,0.44031566251859444,1
Kärntner Straße,0.9031083899822263,2
Dr. Reichard-Weg,0.2771760341553715,2
Steinbügelstraße,0.4803213680597318,1
Egelseestraße,0.18905513158923076,1
Ringstraße,123.96953480828876,17
Schlossbergstraße,0.6018651819606432,3
Rastatter Straße,87.54226322255825,27
Heidelberger Straße,0.8693834583751024,4
Danziger Straße,87.4893125321204,11
Hubstraße,6.1043088306970645,19
Waldshuter Straße,1.8095293514087074,3
Säckinger Straße,0.17184201750111971,1
Blumenstraße,100.53665425727841,12
Passagehof,2.1515905111845908,11
Lagerstraße,0.22006725606045763,1
Griesbachstraße,0.5619523442192801,3
Benzstraße,31.030719460019505,7
Junker-und-Ruh-Straße,0.33968000496931994,3
Bannwaldallee,12.463438482255146,20
Sankt-Florian-Straße,0.8281360116602606,5
Albwinkel,1.310152069839516,4
Hinter dem Stephanienbad,0.9104314680606026,4
Neue-Anlage-Straße,1.2547912667620487,2
Martinstraße,0.7109091434855398,3
Landgrabenstraße,7.184605386112692,17
Maienweg,0.08862397447842592,1
Badener-Höhe-Weg,0.5210286668776687,1
Wielandtstraße,0.2837997055128856,1
Sybelstraße,0.5214448334460179,9
Scherrstraße,0.608732827944049,5
Henriette-Obermüller-Straße,2.67162751576155,13
Morgenstraße,2.1597057835361397,10
Saarlandstraße,23.03393453095631,9
Untere Straße,0.6925126725375325,1
Rheinbergstraße,4.550397699321225,9
Fischreiherstraße,0.09932784855774839,1
Litzelaustraße,1.1528860190050474,4
Albhäusleweg,0.9333498851037345,6
Anna-Lauter-Straße,0.7300755405415752,9
Nowackanlage,0.20192658198031732,2
Luisenstraße,110.5807033642993,27
Marienstraße,30.733641457738255,6
Hedwig-Kettler-Straße,0.31304887244193247,1
Luise-Riegger-Straße,2.2680534700719197,11
Häusserstraße,0.13399277270975105,2
Lauterbergstraße,0.27773508767071536,1
Treitschkestraße,0.28226898539880974,4
Elisabeth-Großwendt-Straße,0.171635536093613,1
Kreuzstraße,59.13249198174044,15
Ständehausstraße,0.39570407848312067,2
Südlicher Herrenhof,0.6144246395138999,6
Bankhof,0.6107733487115117,6
Zähringerstraße,12.208944559506081,30
Akademiestraße,2.8604851353721386,10
Hirschhof,0.8031921109782556,5
Karlshof,0.33613421547055594,5
Douglasstraße,1.4127829063272639,15
Kaiserplatz,0.7115243529453571,7
Tullastraße,76.19868726188729,36
Humboldtstraße,37.47318306105924,5
Bernhardstraße,0.6639863380493531,8
Brunnenstraße,117.26846401849137,11
Fasanenstraße,0.30935399316217166,3
Weiherfeldbrücke,0.31799952895885375,2
Auer Straße,3.3421777200809375,13
Renckstraße,0.22044261261593848,2
August-Dürr-Straße,0.6695342991629488,2
Bürgerstraße,10.874917254028091,2
Leopoldstraße,133.5619202055247,26
Holderweg,20.95194529503004,18
Kleinsteinbacher Straße,9.05410874887287,8
Karlsbader Straße,10.666014825702334,24
Philipp-Reis-Straße,0.8806975307265978,6
Ostendstraße,3.6303731306947715,12
Frühlingstraße,31.9248811447436,9
Sommerstraße,54.561042592981416,5
Hennebergstraße,0.5666292813559062,6
August-Schwall-Straße,0.08817605542967272,1
Degenfeldstraße,0.173809436674908,1
Gottesauer Platz,0.12620698252950832,2
Ehrmannstraße,0.22313144633225798,1
Schwindstraße,0.22067848065447865,1
Kornweg,2.6087827649984616,9
Werthmannstraße,0.763698607799747,4
Pastor-Felke-Straße,1.206807882616492,6
Sebastian-Kneipp-Straße,0.36922746813609286,3
Gotthard-Franz-Straße,1.0474025904107462,14
Am Fasanengarten,1.5832886517947473,7
Engler-Bunte-Ring,1.7197783368543555,7
Rudolf-Plank-Straße,76.73790586572996,32
Otto-Ammann-Platz,0.4120807036421106,4
Ernst-Gaber-Straße,0.5052493361800454,4
Leonhard-Sohncke-Weg,0.17111710129485766,2
Englerstraße,18.571141174574738,17
Engelbert-Arnold-Straße,1.4996720661267642,11
Irene-Rosenberg-Straße,0.272661456883318,3
Straße am Forum,0.9358850151465626,4
Fraunhoferstraße,15.005738712328084,5
Edelsheimstraße,0.17169397166736525,1
Wilhelm-Nusselt-Weg,0.6303206612632553,5
Lehmannstraße,0.12195822517731354,2
